C/A,Unit,SCP,Station,Line Name,Division,Date,Time,Description,Entries,Exits                                                     
R247,R178,01-00-02,77 ST,6,IRT,12/27/2019,00:00:00,REGULAR,1132058,2266663
R247,R178,01-00-01,77 ST,6,IRT,12/27/2019,00:00:00,REGULAR,7413464,26619088
R247,R178,01-03-02,77 ST,6,IRT,12/27/2019,00:00:00,REGULAR,1897750,16078614
R247,R178,01-00-03,77 ST,6,IRT,12/27/2019,00:00:00,REGULAR,836371,2218650
R247,R178,01-03-01,77 ST,6,IRT,12/27/2019,00:00:00,REGULAR,977486,3907248
R247,R178,01-03-00,77 ST,6,IRT,12/27/2019,00:00:00,REGULAR,614041,2714330
R247,R178,01-00-00,77 ST,6,IRT,12/27/2019,00:00:00,REGULAR,2603363,11284908
R248,R178,00-00-02,77 ST,6,IRT,12/27/2019,00:00:00,REGULAR,141442997,17921048
R248,R178,00-00-05,77 ST,6,IRT,12/27/2019,00:00:00,REGULAR,15198537,5868068
R248,R178,00-00-00,77 ST,6,IRT,12/27/2019,00:00:00,REGULAR,3549957,1775812
R248,R178,00-00-07,77 ST,6,IRT,12/27/2019,00:00:00,REGULAR,11949384,1835110
R248,R178,00-00-01,77 ST,6,IRT,12/27/2019,00:00:00,REGULAR,18010785,3240224
R248,R178,00-00-03,77 ST,6,IRT,12/27/2019,00:00:00,REGULAR,17353399,2425621
R248,R178,00-00-04,77 ST,6,IRT,12/27/2019,00:00:00,REGULAR,17851199,4627479
R248,R178,00-00-06,77 ST,6,IRT,12/27/2019,00:00:00,REGULAR,22133788,5559001
C024,R214,00-00-00,77 ST,R,BMT,12/27/2019,03:00:00,REGULAR,8803559,1994080
C024,R214,00-00-01,77 ST,R,BMT,12/27/2019,03:00:00,REGULAR,7068509,2778864
C024,R214,00-00-03,77 ST,R,BMT,12/27/2019,03:00:00,REGULAR,9990804,9313934
C024,R214,00-00-02,77 ST,R,BMT,12/27/2019,03:00:00,REGULAR,6157395,4136355
R247,R178,01-03-01,77 ST,6,IRT,12/27/2019,04:00:00,REGULAR,977499,3907261
R247,R178,01-00-03,77 ST,6,IRT,12/27/2019,04:00:00,REGULAR,836376,2218656
R247,R178,01-00-02,77 ST,6,IRT,12/27/2019,04:00:00,REGULAR,1132072,2266673
R247,R178,01-03-02,77 ST,6,IRT,12/27/2019,04:00:00,REGULAR,1897758,16078652
R247,R178,01-00-00,77 ST,6,IRT,12/27/2019,04:00:00,REGULAR,2603398,11284944
R247,R178,01-03-00,77 ST,6,IRT,12/27/2019,04:00:00,REGULAR,614049,2714339
R247,R178,01-00-01,77 ST,6,IRT,12/27/2019,04:00:00,REGULAR,7413482,26619101
R248,R178,00-00-01,77 ST,6,IRT,12/27/2019,04:00:00,REGULAR,18010804,3240229
R248,R178,00-00-03,77 ST,6,IRT,12/27/2019,04:00:00,REGULAR,17353412,2425626
R248,R178,00-00-02,77 ST,6,IRT,12/27/2019,04:00:00,REGULAR,141443008,17921048
