C/A,Unit,SCP,Station,Line Name,Division,Date,Time,Description,Entries,Exits                                                     
C024,R214,00-00-00,77 ST,R,BMT,12/31/2021,03:00:00,REGULAR,9347773,2113654
C024,R214,00-00-00,77 ST,R,BMT,12/31/2021,07:00:00,REGULAR,9347815,2113658
C024,R214,00-00-00,77 ST,R,BMT,12/31/2021,11:00:00,REGULAR,9347954,2113676
C024,R214,00-00-00,77 ST,R,BMT,12/31/2021,15:00:00,REGULAR,9348077,2113704
C024,R214,00-00-00,77 ST,R,BMT,12/31/2021,19:00:00,REGULAR,9348173,2113749
C024,R214,00-00-00,77 ST,R,BMT,12/31/2021,23:00:00,REGULAR,9348229,2113777
C024,R214,00-00-01,77 ST,R,BMT,12/31/2021,03:00:00,REGULAR,7340000,2884620
C024,R214,00-00-01,77 ST,R,BMT,12/31/2021,07:00:00,REGULAR,7340019,2884621
C024,R214,00-00-01,77 ST,R,BMT,12/31/2021,11:00:00,REGULAR,7340084,2884630
C024,R214,00-00-01,77 ST,R,BMT,12/31/2021,15:00:00,REGULAR,7340133,2884647
C024,R214,00-00-01,77 ST,R,BMT,12/31/2021,19:00:00,REGULAR,7340186,2884696
C024,R214,00-00-01,77 ST,R,BMT,12/31/2021,23:00:00,REGULAR,7340219,2884716
C024,R214,00-00-02,77 ST,R,BMT,12/31/2021,03:00:00,REGULAR,6361252,4282900
C024,R214,00-00-02,77 ST,R,BMT,12/31/2021,07:00:00,REGULAR,6361260,4282902
C024,R214,00-00-02,77 ST,R,BMT,12/31/2021,11:00:00,REGULAR,6361314,4282923
C024,R214,00-00-02,77 ST,R,BMT,12/31/2021,15:00:00,REGULAR,6361353,4282955
C024,R214,00-00-02,77 ST,R,BMT,12/31/2021,19:00:00,REGULAR,6361388,4283016
C024,R214,00-00-02,77 ST,R,BMT,12/31/2021,23:00:00,REGULAR,6361413,4283044
C024,R214,00-00-03,77 ST,R,BMT,12/31/2021,03:00:00,REGULAR,10417887,9660027
C024,R214,00-00-03,77 ST,R,BMT,12/31/2021,07:00:00,REGULAR,10417922,9660035
C024,R214,00-00-03,77 ST,R,BMT,12/31/2021,11:00:00,REGULAR,10418039,9660083
C024,R214,00-00-03,77 ST,R,BMT,12/31/2021,15:00:00,REGULAR,10418134,9660164
C024,R214,00-00-03,77 ST,R,BMT,12/31/2021,19:00:00,REGULAR,10418202,9660299
C024,R214,00-00-03,77 ST,R,BMT,12/31/2021,23:00:00,REGULAR,10418261,9660350
R247,R178,01-00-00,77 ST,6,IRT,12/31/2021,00:00:00,REGULAR,981871,548070
R247,R178,01-00-00,77 ST,6,IRT,12/31/2021,04:00:00,REGULAR,981889,548104
R247,R178,01-00-00,77 ST,6,IRT,12/31/2021,08:00:00,REGULAR,981907,548228
R247,R178,01-00-00,77 ST,6,IRT,12/31/2021,12:00:00,REGULAR,981943,548641
R247,R178,01-00-00,77 ST,6,IRT,12/31/2021,16:00:00,REGULAR,982044,549110
R247,R178,01-00-00,77 ST,6,IRT,12/31/2021,20:00:00,REGULAR,982146,549413
R247,R178,01-00-01,77 ST,6,IRT,12/31/2021,00:00:00,REGULAR,7733278,27333003
R247,R178,01-00-01,77 ST,6,IRT,12/31/2021,04:00:00,REGULAR,7733291,27333016
R247,R178,01-00-01,77 ST,6,IRT,12/31/2021,08:00:00,REGULAR,7733304,27333087
R247,R178,01-00-01,77 ST,6,IRT,12/31/2021,12:00:00,REGULAR,7733337,27333317
